"L0","x","y","H0"
40,0,0,94.58398
20,0,0,82.65396
20,20,0,67.8883
20,0,20,77.9747
20,20,20,66.3595
10,0,0,51.42249
10,10,0,60.53164
10,20,0,63.8883
10,30,0,30.00875
10,0,10,46.32196
10,10,10,82.65396
10,20,10,63.17246
10,30,10,59.50147
10,0,20,66.22778
10,10,20,21.88608
10,20,20,11.30539
10,30,20,66.11483
10,0,30,64.65832
10,10,30,64.28293
10,20,30,58.65412
10,30,30,56.40769
5,0,0,6.27554000000003
5,5,0,44.63062
5,10,0,16.03826
5,15,0,53.31201
5,20,0,57.90597
5,25,0,14
5,30,0,10.39999
5,35,0,8.60000000000002
5,0,5,6.32821999999999
5,5,5,44.07171
5,10,5,11.92841
5,15,5,44.29218
5,20,5,47.61264
5,25,5,18.0732400000001
5,30,5,10.52719
5,35,5,22.40875
5,0,10,37.2073
5,5,10,32.59872
5,10,10,53.07858
5,15,10,46.2883
5,20,10,48.57248
5,25,10,47.41318
5,30,10,47.30148
5,35,10,46.66522
5,0,15,37.81021
5,5,15,45.83117
5,10,15,64.48352
5,15,15,26.17536
5,20,15,15.80001
5,25,15,14.79999
5,30,15,58.63794
5,35,15,55.21948
5,0,20,51.02777
5,5,20,64.13318
5,10,20,18.00558
5,15,20,12.28052
5,20,20,10.76294
5,25,20,9.10537999999997
5,30,20,10.83126
5,35,20,64.76934
5,0,25,31.50342
5,5,25,19.72857
5,10,25,9.89670000000001
5,15,25,9.81565000000001
5,20,25,8.33034999999995
5,25,25,7.30484000000001
5,30,25,8.18869000000001
5,35,25,10.13535
5,0,30,45.32966
5,5,30,61.28094
5,10,30,25.40002
5,15,30,10.79999
5,20,30,12.40002
5,25,30,8.60001
5,30,30,10.4
5,35,30,53.20771
5,0,35,3.04177999999996
5,5,35,37.69418
5,10,35,53.93378
5,15,35,24.39181
5,20,35,49.25412
5,25,35,49.54376
5,30,35,47.2077
5,35,35,42.59766
2.5,0,0,2.67459000000002
2.5,2.5,0,3.52786000000003
2.5,5,0,0.930389999999989
2.5,7.5,0,1.88993000000005
2.5,10,0,2.12273999999996
2.5,12.5,0,15.9667
2.5,15,0,8.80712999999997
2.5,17.5,0,7.04885999999999
2.5,20,0,51.97244
2.5,22.5,0,57.90597
2.5,25,0,6
2.5,27.5,0,5.60000000000002
2.5,30,0,5.20000999999996
2.5,32.5,0,4.39999
2.5,35,0,4.59998000000002
2.5,37.5,0,4
2.5,0,2.5,2.20335999999998
2.5,2.5,2.5,3.25518
2.5,5,2.5,44.48544
2.5,7.5,2.5,0.678009999999972
2.5,10,2.5,10.63547
2.5,12.5,2.5,11.68558
2.5,15,2.5,2.73758000000004
2.5,17.5,2.5,44.712
2.5,20,2.5,6.16663
2.5,22.5,2.5,6.66118999999998
2.5,25,2.5,7.59998000000002
2.5,27.5,2.5,6.60000000000002
2.5,30,2.5,4.60000000000002
2.5,32.5,2.5,4.51186999999999
2.5,35,2.5,3.79999000000004
2.5,37.5,2.5,3.59999999999997
2.5,0,5,2.75506999999999
2.5,2.5,5,3.12130999999999
2.5,5,5,44.05786
2.5,7.5,5,10.4581
2.5,10,5,10.4722599999999
2.5,12.5,5,2.76911000000001
2.5,15,5,2.91599000000002
2.5,17.5,5,42.7338
2.5,20,5,11.2883
2.5,22.5,5,8.20791000000003
2.5,25,5,8.23217999999997
2.5,27.5,5,6.19998000000004
2.5,30,5,4.60000000000002
2.5,32.5,5,4.52719000000002
2.5,35,5,1.93888000000004
2.5,37.5,5,2.05987999999996
2.5,0,7.5,2.96014000000002
2.5,2.5,7.5,3.50776000000002
2.5,5,7.5,42.21823
2.5,7.5,7.5,9.32407000000001
2.5,10,7.5,1.53460000000001
2.5,12.5,7.5,2.00890999999996
2.5,15,7.5,2.32531
2.5,17.5,7.5,0.990779999999972
2.5,20,7.5,36.59705
2.5,22.5,7.5,40.46045
2.5,25,7.5,10.6732500000001
2.5,27.5,7.5,7
2.5,30,7.5,5.39999
2.5,32.5,7.5,6.81570999999997
2.5,35,7.5,5.45679000000001
2.5,37.5,7.5,20.35107
2.5,0,10,2.98692999999997
2.5,2.5,10,34.76968
2.5,5,10,32.46023
2.5,7.5,10,2.06029999999998
2.5,10,10,19.80243
2.5,12.5,10,2.55856
2.5,15,10,2.11511999999999
2.5,17.5,10,1.96950999999996
2.5,20,10,1.46472999999997
2.5,22.5,10,0.675209999999993
2.5,25,10,41.04694
2.5,27.5,10,43.3824499999999
2.5,30,10,45.30148
2.5,32.5,10,6.01226000000003
2.5,35,10,5
2.5,37.5,10,4.20001000000002
2.5,0,12.5,2.62912
2.5,2.5,12.5,33.0015
2.5,5,12.5,1.05249000000003
2.5,7.5,12.5,0.928519999999992
2.5,10,12.5,1.33712000000003
2.5,12.5,12.5,34.5146800000001
2.5,15,12.5,40.57358
2.5,17.5,12.5,44.64782
2.5,20,12.5,46.00006
2.5,22.5,12.5,47.38394
2.5,25,12.5,46.56653
2.5,27.5,12.5,45.63059
2.5,30,12.5,43.4635
2.5,32.5,12.5,41.19587
2.5,35,12.5,41.46521
2.5,37.5,12.5,5.39526000000001
2.5,0,15,2.98034000000001
2.5,2.5,15,34.99197
2.5,5,15,1.68088
2.5,7.5,15,1.51776000000001
2.5,10,15,40.64612
2.5,12.5,15,48.47721
2.5,15,15,15.4
2.5,17.5,15,12.80001
2.5,20,15,8.59999999999997
2.5,22.5,15,7.79999000000004
2.5,25,15,8.40001999999998
2.5,27.5,15,8.60001
2.5,30,15,51.83795
2.5,32.5,15,51.15176
2.5,35,15,1.00241
2.5,37.5,15,37.40485
2.5,0,17.5,3.08531999999997
2.5,2.5,17.5,34.16797
2.5,5,17.5,2.81191999999999
2.5,7.5,17.5,43.45566
2.5,10,17.5,55.19571
2.5,12.5,17.5,21.2374
2.5,15,17.5,13.77536
2.5,17.5,17.5,9.39999
2.5,20,17.5,6
2.5,22.5,17.5,5.80000999999999
2.5,25,17.5,5.59998000000002
2.5,27.5,17.5,5.79999000000004
2.5,30,17.5,6.60001
2.5,32.5,17.5,10.8627
2.5,35,17.5,55.21948
2.5,37.5,17.5,50.50555
2.5,0,20,3.59778
2.5,2.5,20,48.86267
2.5,5,20,50.93319
2.5,7.5,20,55.58011
2.5,10,20,8.80556999999999
2.5,12.5,20,8.79998999999998
2.5,15,20,5.40001999999998
2.5,17.5,20,5.79998999999998
2.5,20,20,5
2.5,22.5,20,5
2.5,25,20,4.19999000000001
2.5,27.5,20,4.20000999999996
2.5,30,20,4.60001
2.5,32.5,20,5.39999
2.5,35,20,8.39769999999999
2.5,37.5,20,57.88357
2.5,0,22.5,2.61867999999998
2.5,2.5,22.5,51.02777
2.5,5,22.5,8.79999000000004
2.5,7.5,22.5,12.60001
2.5,10,22.5,9
2.5,12.5,22.5,7.60000000000002
2.5,15,22.5,6.38022000000001
2.5,17.5,22.5,6.08051
2.5,20,22.5,5.35381999999998
2.5,22.5,22.5,5.16293000000002
2.5,25,22.5,4.63672000000003
2.5,27.5,22.5,4.30538999999999
