"L0","x","y","H0"
40,0,0,87.9064
20,0,0,75.97638
20,20,0,66.87915
20,0,20,75.41474
20,20,20,66.04773
10,0,0,51.3884
10,10,0,59.17663
10,20,0,62.87915
10,30,0,18.40002
10,0,10,41.72394
10,10,10,64.4569100000001
10,20,10,62.95453
10,30,10,59.22242
10,0,20,64.88449
10,10,20,21.41611
10,20,20,10.30539
10,30,20,65.9736
10,0,30,62.15891
10,10,30,63.88831
10,20,30,58.10343
10,30,30,56.29462
5,0,0,5.14889999999997
5,5,0,45.08121
5,10,0,15.86688
5,15,0,50.73544
5,20,0,56.89682
5,25,0,12
5,30,0,9.96636999999998
5,35,0,8.20001000000002
5,0,5,5.83389
5,5,5,43.41989
5,10,5,11.45715
5,15,5,42.93048
5,20,5,47.31997
5,25,5,15.55814
5,30,5,9.32720999999998
5,35,5,7
5,0,10,6.52762000000001
5,5,10,33.24829
5,10,10,33.68155
5,15,10,44.35202
5,20,10,48.35455
5,25,10,46.97159
5,30,10,47.02243
5,35,10,46.5534
5,0,15,37.27967
5,5,15,41.56442
5,10,15,63.21325
5,15,15,19.97537
5,20,15,14.40002
5,25,15,12.99875
5,30,15,57.48835
5,35,15,55.09466
5,0,20,49.84189
5,5,20,62.9126
5,10,20,17.4858400000001
5,15,20,9.98450000000003
5,20,20,9.76294000000001
5,25,20,8.10537999999997
5,30,20,9.63125000000002
5,35,20,64.62811
5,0,25,29.37393
5,5,25,18.80001
5,10,25,9.20000999999996
5,15,25,8.93026999999995
5,20,25,7.73034999999999
5,25,25,6.50484999999998
5,30,25,7.58868000000001
5,35,25,8.93534
5,0,30,44.90247
5,5,30,60.91745
5,10,30,24
5,15,30,9.69364000000002
5,20,30,11.40002
5,25,30,7.80001999999996
5,30,30,9
5,35,30,52.62577
5,0,35,2.97031000000004
5,5,35,30.69428
5,10,35,53.58045
5,15,35,23.79181
5,20,35,15.20001
5,25,35,49.10343
5,30,35,47.09463
5,35,35,42.29334
2.5,0,0,2.44158999999996
2.5,2.5,0,1.86984000000001
2.5,5,0,44.51465
2.5,7.5,0,0.969689999999957
2.5,10,0,2.17291
2.5,12.5,0,15.55417
2.5,15,0,7.49016999999998
2.5,17.5,0,6.57814999999999
2.5,20,0,51.90979
2.5,22.5,0,3.60028
2.5,25,0,5
2.5,27.5,0,3.80000999999999
2.5,30,0,3.79998999999998
2.5,32.5,0,3
2.5,35,0,3
2.5,37.5,0,2.40001999999998
2.5,0,2.5,2.06635
2.5,2.5,2.5,1.94889000000001
2.5,5,2.5,44.98129
2.5,7.5,2.5,0.352480000000014
2.5,10,2.5,10.56088
2.5,12.5,2.5,10.90213
2.5,15,2.5,2.57516000000004
2.5,17.5,2.5,43.11257
2.5,20,2.5,6.38412000000005
2.5,22.5,2.5,5.59999999999997
2.5,25,2.5,6.39999999999998
2.5,27.5,2.5,5.20000999999996
2.5,30,2.5,5.56637999999998
2.5,32.5,2.5,4.20001000000002
2.5,35,2.5,4.20001000000002
2.5,37.5,2.5,3.59998000000002
2.5,0,5,2.50076000000001
2.5,2.5,5,2.24597
2.5,5,5,43.39383
2.5,7.5,5,8.03737999999998
2.5,10,5,10.01965
2.5,12.5,5,2.41686999999996
2.5,15,5,1.23815999999999
2.5,17.5,5,41.36932
2.5,20,5,7.68773999999996
2.5,22.5,5,5.40791999999999
2.5,25,5,6.20001000000002
2.5,27.5,5,4
2.5,30,5,3.58356000000003
2.5,32.5,5,2.44369999999998
2.5,35,5,1.69098000000002
2.5,37.5,5,1.70794999999998
2.5,0,7.5,2.91562000000005
2.5,2.5,7.5,2.53217000000001
2.5,5,7.5,37.2056
2.5,7.5,7.5,8.95314999999999
2.5,10,7.5,1.53460000000001
2.5,12.5,7.5,1.28390000000002
2.5,15,7.5,2.28332
2.5,17.5,7.5,0.686039999999991
2.5,20,7.5,39.11206
2.5,22.5,7.5,40.38327
2.5,25,7.5,9.35816
2.5,27.5,7.5,5.60001
2.5,30,7.5,4.80001999999996
2.5,32.5,7.5,5.41570999999999
2.5,35,7.5,5.06912
2.5,37.5,7.5,2.59179999999998
2.5,0,10,2.47406000000001
2.5,2.5,10,1.79861
2.5,5,10,33.24829
2.5,7.5,10,1.14908000000003
2.5,10,10,1.03942999999998
2.5,12.5,10,2.18912
2.5,15,10,1.92410999999998
2.5,17.5,10,1.06277
2.5,20,10,1.34284000000002
2.5,22.5,10,0.495270000000005
2.5,25,10,41.37161
2.5,27.5,10,42.95673
2.5,30,10,5.59447999999998
2.5,32.5,10,3.80000999999999
2.5,35,10,3.60001
2.5,37.5,10,2.80000999999999
2.5,0,12.5,2.56970000000001
2.5,2.5,12.5,3.02442000000002
2.5,5,12.5,3.41837000000004
2.5,7.5,12.5,0.568060000000003
2.5,10,12.5,0.995120000000043
2.5,12.5,12.5,32.6883
2.5,15,12.5,40.55203
2.5,17.5,12.5,42.79667
2.5,20,12.5,46.20007
2.5,22.5,12.5,47.31143
2.5,25,12.5,45.6459400000001
2.5,27.5,12.5,45.28827
2.5,30,12.5,43.19208
2.5,32.5,12.5,41.61554
2.5,35,12.5,42.35339
2.5,37.5,12.5,5.19998000000004
2.5,0,15,2.42196999999999
2.5,2.5,15,32.89816
2.5,5,15,2.59000000000003
2.5,7.5,15,1.25110000000001
2.5,10,15,36.9718
2.5,12.5,15,12.39999
2.5,15,15,8.39999
2.5,17.5,15,6.79999000000004
2.5,20,15,6.60001
2.5,22.5,15,5.39999
2.5,25,15,5.39999999999998
2.5,27.5,15,5.59876000000003
2.5,30,15,9.13918999999999
2.5,32.5,15,49.22397
2.5,35,15,0.703000000000031
2.5,37.5,15,36.26755
2.5,0,17.5,2.63292999999999
2.5,2.5,17.5,33.76834
2.5,5,17.5,2.59235000000001
2.5,7.5,17.5,39.24988
2.5,10,17.5,53.91422
2.5,12.5,17.5,17.83099
2.5,15,17.5,13.77536
2.5,17.5,17.5,8
2.5,20,17.5,6.19999000000001
2.5,22.5,17.5,5.60000000000002
2.5,25,17.5,5.59998000000002
2.5,27.5,17.5,5.59998000000002
2.5,30,17.5,6.60001
2.5,32.5,17.5,8.54944
2.5,35,17.5,55.09466
2.5,37.5,17.5,1.39389
2.5,0,20,2.95642000000004
2.5,2.5,20,31.76493
2.5,5,20,50.11261
2.5,7.5,20,53.6167
2.5,10,20,8.08585000000005
2.5,12.5,20,1.47688999999997
2.5,15,20,3
2.5,17.5,20,4
2.5,20,20,3.60001
2.5,22.5,20,3.19999000000001
2.5,25,20,2.59998000000002
2.5,27.5,20,2.39999
2.5,30,20,3
2.5,32.5,20,3.60000000000002
2.5,35,20,6.00491
2.5,37.5,20,56.74234
2.5,0,22.5,2.56342000000001
2.5,2.5,22.5,21.57605
2.5,5,22.5,8.79999000000004
2.5,7.5,22.5,11
2.5,10,22.5,9
2.5,12.5,22.5,6.59998000000002
2.5,15,22.5,6.38022000000001
2.5,17.5,22.5,5.18450999999999
2.5,20,22.5,5.44409000000002
2.5,22.5,22.5,4.36293999999998
2.5,25,22.5,4.49260999999996
2.5,27.5,22.5,4.10537999999997
2.5,30,22.5,4.23126000000002
2.5,32.5,22.5,4.55081999999999
2.5,35,22.5,5.50335000000001
2.5,37.5,22.5,6.86467999999996
2.5,0,25,20.08206
2.5,2.5,25,6.20000999999996
2.5,5,25,5.40000000000003
2.5,7.5,25,2.80000999999999
2.5,10,25,3.60001
2.5,12.5,25,2.59999999999997
2.5,15,25,3
2.5,17.5,25,2.33025999999995
2.5,20,25,2.55087000000003
2.5,22.5,25,1.93035999999995
2.5,25,25,2.28000000000003
2.5,27.5,25,2.10482999999999
2.5,30,25,2.38869999999997
2.5,32.5,25,2.36296999999996
2.5,35,25,2.53533999999996
2.5,37.5,25,2.37843999999996
2.5,0,27.5,22.37075
2.5,2.5,27.5,11.59998
2.5,5,27.5,13.6
2.5,7.5,27.5,7.60001
2.5,10,27.5,4.20000999999996
2.5,12.5,27.5,4.60000000000002
2.5,15,27.5,4.60001
2.5,17.5,27.5,4
2.5,20,27.5,4
2.5,22.5,27.5,3.59998000000002
2.5,25,27.5,3.20000999999996
2.5,27.5,27.5,3
2.5,30,27.5,3.39999
2.5,32.5,27.5,3.79999000000004
2.5,35,27.5,4.59998000000002
2.5,37.5,27.5,5
2.5,0,30,26.17642
2.5,2.5,30,3.44930999999997
2.5,5,30,7.20001000000002
2.5,7.5,30,14.90573
2.5,10,30,9.81032999999996
2.5,12.5,30,0.96610000000004
2.5,15,30,3.96198000000004
2.5,17.5,30,3.20000999999996
2.5,20,30,2.80001999999996
2.5,22.5,30,2.40001999999998
2.5,25,30,2.60001
2.5,27.5,30,2.39999999999998
2.5,30,30,2.60001
2.5,32.5,30,3
2.5,35,30,3.79999000000004
2.5,37.5,30,4
2.5,0,32.5,23.87146
2.5,2.5,32.5,40.90302
2.5,5,32.5,41.41171
2.5,7.5,32.5,44.9863
2.5,10,32.5,21.15674
2.5,12.5,32.5,7.02356000000003
2.5,15,32.5,4.30314000000004
2.5,17.5,32.5,5.28046000000001
2.5,20,32.5,8.03026999999997
2.5,22.5,32.5,4.39999
2.5,25,32.5,4.20000999999996
2.5,27.5,32.5,4.20000999999996
2.5,30,32.5,4.79999000000004
2.5,32.5,32.5,4.80000999999999
2.5,35,32.5,48.43705
2.5,37.5,32.5,46.62577
2.5,0,35,1.16821000000004
2.5,2.5,35,0.713599999999985
2.5,5,35,2.01050000000004
2.5,7.5,35,28.81223
2.5,10,35,14.60386
2.5,12.5,35,17.09214
2.5,15,35,6.59181999999998
2.5,17.5,35,5.40713999999997
2.5,20,35,5.39999
2.5,22.5,35,5
2.5,25,35,4.60001
2.5,27.5,35,2.80001999999996
2.5,30,35,3.60669000000001
2.5,32.5,35,44.23742
2.5,35,35,42.29334
2.5,37.5,35,1.30667
2.5,0,37.5,2.60075999999998
2.5,2.5,37.5,1.08768000000003
2.5,5,37.5,0.890409999999974
2.5,7.5,37.5,0.997560000000021
2.5,10,37.5,31.6883
2.5,12.5,37.5,36.27726
2.5,15,37.5,13.19999
2.5,17.5,37.5,11.20001
2.5,20,37.5,7.68042000000003
2.5,22.5,37.5,7.57324
2.5,25,37.5,43.70343
2.5,27.5,37.5,43.00382
2.5,30,37.5,42.5759
2.5,32.5,37.5,1.56018
2.5,35,37.5,1.04825
2.5,37.5,37.5,0.974150000000009
