"L0","x","y","H0"
40,0,0,66.01718
20,0,0,61.4981100000001
20,20,0,57.34347
20,0,20,66.01718
20,20,20,58.96921
10,0,0,13.81269
10,10,0,45.52661
10,20,0,19.2879
10,30,0,54.27859
10,0,10,52.64673
10,10,10,54.68271
10,20,10,47.09052
10,30,10,50.87085
10,0,20,54.73532
10,10,20,11.2659
10,20,20,54.10874
10,30,20,52.62244
10,0,30,56.89816
10,10,30,63.27047
10,20,30,23.06732
10,30,30,49.9284
5,0,0,5.77805000000001
5,5,0,11.40351
5,10,0,39.13559
5,15,0,44.78103
5,20,0,10.452
5,25,0,7.8879
5,30,0,5.60390999999998
5,35,0,49.64584
5,0,5,8.99725999999998
5,5,5,8.1087
5,10,5,10.35773
5,15,5,35.90857
5,20,5,10.79999
5,25,5,9.54744999999997
5,30,5,7.69890999999996
5,35,5,46.76321
5,0,10,10.4
5,5,10,16
5,10,10,14.2000200000001
5,15,10,38.11576
5,20,10,32.52527
5,25,10,10.18854
5,30,10,42.51193
5,35,10,45.35431
5,0,15,52.19721
5,5,15,11.76675
5,10,15,14.76696
5,15,15,50.48828
5,20,15,46.61637
5,25,15,39.87824
5,30,15,48.48807
5,35,15,7.56175999999999
5,0,20,51.79977
5,5,20,7.65310999999997
5,10,20,6.49838
5,15,20,8.93698000000001
5,20,20,13.19748
5,25,20,44.10452
5,30,20,46.52405
5,35,20,5.84951999999998
5,0,25,44.80393
5,5,25,12.44293
5,10,25,8.12891000000002
5,15,25,4.59998000000002
5,20,25,9.00421999999998
5,25,25,11.35888
5,30,25,45.58514
5,35,25,15.76096
5,0,30,33.94476
5,5,30,41.29483
5,10,30,11.40002
5,15,30,9.18218999999999
5,20,30,6.97629000000001
5,25,30,11.20001
5,30,30,45.14942
5,35,30,45.7745
5,0,35,6.22634999999997
5,5,35,47.78665
5,10,35,52.68826
5,15,35,16.20001
5,20,35,15
5,25,35,16.49103
5,30,35,48.05026
5,35,35,4.30642999999998
2.5,0,0,2.53156000000001
2.5,2.5,0,4.78057999999999
2.5,5,0,4.59528
2.5,7.5,0,5.67734000000002
2.5,10,0,5.31958000000003
2.5,12.5,0,34.0727000000001
2.5,15,0,39.38858
2.5,17.5,0,5.99532999999997
2.5,20,0,5.32306
2.5,22.5,0,4.05200000000002
2.5,25,0,3.40001999999998
2.5,27.5,0,2.47198000000003
2.5,30,0,2.94948999999997
2.5,32.5,0,1.92840000000001
2.5,35,0,49.64584
2.5,37.5,0,2.82832999999999
2.5,0,2.5,4.47640999999999
2.5,2.5,2.5,2.46866
2.5,5,2.5,5.44751000000002
2.5,7.5,2.5,4.48068000000001
2.5,10,2.5,4.65978999999999
2.5,12.5,2.5,32.27826
2.5,15,2.5,36.14721
2.5,17.5,2.5,7.37888000000004
2.5,20,2.5,5.39999999999998
2.5,22.5,2.5,4
2.5,25,2.5,4.36730999999997
2.5,27.5,2.5,4.02880999999996
2.5,30,2.5,2.94891000000001
2.5,32.5,2.5,3.41879
2.5,35,2.5,47.9696
2.5,37.5,2.5,1.55954000000003
2.5,0,5,4
2.5,2.5,5,4.39724999999999
2.5,5,5,3.64251999999999
2.5,7.5,5,5.81704000000002
2.5,10,5,5.01830999999999
2.5,12.5,5,3.99871999999999
2.5,15,5,30.13733
2.5,17.5,5,35.19522
2.5,20,5,6
2.5,22.5,5,4.79999000000004
2.5,25,5,4
2.5,27.5,5,5.04302999999999
2.5,30,5,5.08831999999995
2.5,32.5,5,3.07866999999999
2.5,35,5,46.76321
2.5,37.5,5,2.01403999999997
2.5,0,7.5,3.79999000000004
2.5,2.5,7.5,4.09854000000001
2.5,5,7.5,4.17394999999999
2.5,7.5,7.5,4.15710000000001
2.5,10,7.5,6.15773999999999
2.5,12.5,7.5,3.59421000000003
2.5,15,7.5,29.07717
2.5,17.5,7.5,31.2901000000001
2.5,20,7.5,5.20001000000002
2.5,22.5,7.5,4.84744000000001
2.5,25,7.5,4.50441999999998
2.5,27.5,7.5,2.85599000000002
2.5,30,7.5,4
2.5,32.5,7.5,4.09546
2.5,35,7.5,43.49755
2.5,37.5,7.5,2.25528000000003
2.5,0,10,4.50801999999999
2.5,2.5,10,4.40000000000003
2.5,5,10,4.59999999999997
2.5,7.5,10,3.84323000000001
2.5,10,10,4.78539999999998
2.5,12.5,10,4.79861
2.5,15,10,28.91575
2.5,17.5,10,27.2898300000001
2.5,20,10,30.27185
2.5,22.5,10,5.45339999999999
2.5,25,10,5.42764
2.5,27.5,10,4
2.5,30,10,3.86575000000005
2.5,32.5,10,37.82926
2.5,35,10,37.52335
2.5,37.5,10,1.53039999999999
2.5,0,12.5,5.40000000000003
2.5,2.5,12.5,4.79999000000004
2.5,5,12.5,15.79999
2.5,7.5,12.5,14.3516
2.5,10,12.5,11.2139
