"L0","x","y","H0"
40,0,0,75.64328
20,0,0,68.60364
20,20,0,63.66849
20,0,20,67.11706
20,20,20,61.85736
10,0,0,41.40365
10,10,0,57.11447
10,20,0,61.42886
10,30,0,58.30271
10,0,10,45.1072
10,10,10,26
10,20,10,15.0929
10,30,10,59.28732
10,0,20,45.82355
10,10,20,57.93451
10,20,20,61.85736
10,30,20,43.58035
10,0,30,50.17489
10,10,30,10.91708
10,20,30,9.72198000000003
10,30,30,11.53702
5,0,0,3.22284000000002
5,5,0,6.77176000000003
5,10,0,39.91446
5,15,0,46.96051
5,20,0,48.62885
5,25,0,15.99533
5,30,0,14.1734
5,35,0,55.50943
5,0,5,3.27737000000002
5,5,5,36.44296
5,10,5,46.11749
5,15,5,15.6
5,20,5,11.73694
5,25,5,11.4544
5,30,5,7.60047000000003
5,35,5,13.18762
5,0,10,2.19812000000002
5,5,10,39.08829
5,10,10,16
5,15,10,11.28073
5,20,10,9.86840000000001
5,25,10,7.29935
5,30,10,11.63965
5,35,10,55.17508
5,0,15,43.93023
5,5,15,42.1145
5,10,15,12.62476
5,15,15,9.87919000000005
5,20,15,7.68395999999996
5,25,15,13.94523
5,30,15,53.6918700000001
5,35,15,47.4613
5,0,20,45.0279
5,5,20,45.38684
5,10,20,11.32233
5,15,20,14
5,20,20,17.20001
5,25,20,50.11753
5,30,20,43.58035
5,35,20,2.54122999999998
5,0,25,8.81295
5,5,25,43.96301
5,10,25,46.71332
5,15,25,44.41745
5,20,25,46.25736
5,25,25,33.17368
5,30,25,3.52103
5,35,25,3.88758000000001
5,0,30,47.35394
5,5,30,8.45087000000001
5,10,30,6.11397999999997
5,15,30,5.26092
5,20,30,7.53741000000002
5,25,30,3.25506000000001
5,30,30,2.89832000000001
5,35,30,4.35910000000001
5,0,35,43.1549
5,5,35,4.92709000000002
5,10,35,7.18117999999998
5,15,35,5.19991999999996
5,20,35,5.83431999999999
5,25,35,6.32699000000002
5,30,35,7.99839000000003
5,35,35,6.81662
2.5,0,0,1.79495000000003
2.5,2.5,0,2.00713999999999
2.5,5,0,2.10776000000004
2.5,7.5,0,6.42868000000004
2.5,10,0,1.32871
2.5,12.5,0,27.38012
2.5,15,0,35.56049
2.5,17.5,0,39.48743
2.5,20,0,12.16306
2.5,22.5,0,44.22885
2.5,25,0,7.80927000000003
2.5,27.5,0,7.52343999999999
2.5,30,0,7.36426
2.5,32.5,0,5.52062999999998
2.5,35,0,51.19141
2.5,37.5,0,51.37494
2.5,0,2.5,2.83005000000003
2.5,2.5,2.5,1.77798999999999
2.5,5,2.5,3.05713000000003
2.5,7.5,2.5,1.20913999999999
2.5,10,2.5,31.8883
2.5,12.5,2.5,38.0146800000001
2.5,15,2.5,41.99295
2.5,17.5,2.5,8.80126999999999
2.5,20,2.5,6.80001999999996
2.5,22.5,2.5,6
2.5,25,2.5,8.68860000000001
2.5,27.5,2.5,4.82684
2.5,30,2.5,6.02033
2.5,32.5,2.5,4.90790000000004
2.5,35,2.5,5.17260999999996
2.5,37.5,2.5,3.31243999999998
2.5,0,5,2.02356000000003
2.5,2.5,5,1.40881999999999
2.5,5,5,4.18862999999999
2.5,7.5,5,30.32415
2.5,10,5,36.91748
2.5,12.5,5,9.20001000000002
2.5,15,5,7.59999999999997
2.5,17.5,5,7
2.5,20,5,6
2.5,22.5,5,7.35962000000001
2.5,25,5,5.72165000000001
2.5,27.5,5,4.06619000000001
2.5,30,5,4.83457000000004
2.5,32.5,5,4.65816999999998
2.5,35,5,2.87332000000004
2.5,37.5,5,8.28515999999996
2.5,0,7.5,1.93982
2.5,2.5,7.5,1.43261999999999
2.5,5,7.5,23.75843
2.5,7.5,7.5,32.7012
2.5,10,7.5,9.25018
2.5,12.5,7.5,8
2.5,15,7.5,6.59999999999997
2.5,17.5,7.5,7
2.5,20,7.5,6.41269
2.5,22.5,7.5,5.32245
2.5,25,7.5,3.74466000000001
2.5,27.5,7.5,4.70083
2.5,30,7.5,4.34566999999998
2.5,32.5,7.5,2.36590999999999
2.5,35,7.5,7.78762999999998
2.5,37.5,7.5,8.80000999999999
2.5,0,10,1.44369
2.5,2.5,10,1.09622000000002
2.5,5,10,28.68775
2.5,7.5,10,10.79999
2.5,10,10,6.59999999999997
2.5,12.5,10,7
2.5,15,10,7.93976000000004
2.5,17.5,10,4.80001999999996
2.5,20,10,4.06839000000002
2.5,22.5,10,4
2.5,25,10,5.00644
2.5,27.5,10,4.29291000000001
2.5,30,10,2.43964
2.5,32.5,10,8.01627000000002
2.5,35,10,7.80001999999996
2.5,37.5,10,8.40001999999998
2.5,0,12.5,0.630889999999965
2.5,2.5,12.5,0.666539999999998
2.5,5,12.5,30.18009
2.5,7.5,12.5,8.39398
2.5,10,12.5,7.40000000000003
2.5,12.5,12.5,7.19999000000001
2.5,15,12.5,6.60111000000001
2.5,17.5,12.5,3.21875
2.5,20,12.5,4.20000999999996
2.5,22.5,12.5,5
2.5,25,12.5,3.95430999999996
2.5,27.5,12.5,3.61651000000001
2.5,30,12.5,7.67111
2.5,32.5,12.5,7.60001
2.5,35,12.5,8.20000999999996
2.5,37.5,12.5,45.69928
2.5,0,15,42.75436
2.5,2.5,15,0.810430000000053
2.5,5,15,29.83541
2.5,7.5,15,10.46545
2.5,10,15,8.39258000000001
2.5,12.5,15,6
2.5,15,15,5.27918000000005
2.5,17.5,15,3.76450000000006
2.5,20,15,5.20000999999996
2.5,22.5,15,3.88394999999997
2.5,25,15,4.34524999999996
2.5,27.5,15,7.20000999999996
2.5,30,15,7.60001
2.5,32.5,15,8.20000999999996
2.5,35,15,47.1431
2.5,37.5,15,39.4278
2.5,0,17.5,43.14367
2.5,2.5,17.5,41.53284
2.5,5,17.5,30.00528
2.5,7.5,17.5,11.68335
2.5,10,17.5,6.35226
2.5,12.5,17.5,3.83215999999999
2.5,15,17.5,5.94045999999997
2.5,17.5,17.5,4.03687000000002
2.5,20,17.5,3.08078
