"L0","x","y","H0"
40,0,0,31.01514
20,0,0,19.87537
20,20,0,10.52631
20,0,20,10.36033
20,20,20,13.1543
10,0,0,14.96552
10,10,0,16.27597
10,20,0,5.58700999999996
10,30,0,6.68935999999997
10,0,10,7.59144000000003
10,10,10,5.17682000000002
10,20,10,4.11462
10,30,10,4.49996999999996
10,0,20,4.60784999999998
10,10,20,4.38226000000003
10,20,20,5.97506999999996
10,30,20,4.98068000000001
10,0,30,5.87869000000001
10,10,30,6.40823999999998
10,20,30,6.99372
10,30,30,6.97839999999997
5,0,0,3.38195000000002
5,5,0,1.76024999999998
5,10,0,12.86777
5,15,0,7.82882999999998
5,20,0,2.73980999999998
5,25,0,5.02938999999998
5,30,0,2.95116999999999
5,35,0,3.46648999999996
5,0,5,13.21738
5,5,5,10.92655
5,10,5,10.68582
5,15,5,3.72204999999997
5,20,5,2.34824000000003
5,25,5,2.91876000000002
5,30,5,5.20815999999996
5,35,5,2.70654000000002
5,0,10,4.89277000000004
5,5,10,3.85361
5,10,10,1.86005
5,15,10,3.38177999999999
5,20,10,2.34088000000003
5,25,10,2.59744000000001
5,30,10,3.34114999999997
5,35,10,2.24960999999996
5,0,15,2.30020000000002
5,5,15,4.56927999999999
5,10,15,1.66888
5,15,15,2.42278999999996
5,20,15,1.55260999999996
5,25,15,3.0206
5,30,15,3.36682000000002
5,35,15,2.12235000000004
5,0,20,1.37777999999997
5,5,20,2.06237999999996
5,10,20,2.59368999999998
5,15,20,2.42534999999998
5,20,20,2.98412999999999
5,25,20,3.71190999999999
5,30,20,1.85046
5,35,20,2.60079999999999
5,0,25,1.28026999999997
5,5,25,2.97395999999998
5,10,25,2.09384
5,15,25,1.81878
5,20,25,4.24286000000001
5,25,25,3.34438999999998
5,30,25,3.23705999999999
5,35,25,2.71091000000001
5,0,30,2.71474999999998
5,5,30,2.90146000000004
5,10,30,2.84093999999999
5,15,30,2.70295000000004
5,20,30,3.59348
5,25,30,3.06543000000005
5,30,30,3.68173999999999
5,35,30,4.51675999999998
5,0,35,2.87874999999997
5,5,35,2.88471000000004
5,10,35,2.47735999999998
5,15,35,3.50457999999998
5,20,35,3.59399000000002
5,25,35,2.89661000000001
5,30,35,3.54495000000003
5,35,35,2.45551
2.5,0,0,0.385590000000036
2.5,2.5,0,0.580139999999972
2.5,5,0,0.577179999999998
2.5,7.5,0,0.550600000000031
2.5,10,0,2.17291
2.5,12.5,0,4.68146000000002
2.5,15,0,7.49016999999998
2.5,17.5,0,7.13866999999999
2.5,20,0,2.08010999999999
2.5,22.5,0,1.75794000000002
2.5,25,0,3.59014999999999
2.5,27.5,0,1.53859999999997
2.5,30,0,1.09372000000002
2.5,32.5,0,0.726990000000001
2.5,35,0,0.862610000000018
2.5,37.5,0,2.22658999999999
2.5,0,2.5,2.09539000000001
2.5,2.5,2.5,1.53453999999999
2.5,5,2.5,1.76024999999998
2.5,7.5,2.5,1.01479999999998
2.5,10,2.5,10.27771
2.5,12.5,2.5,10.8170500000001
2.5,15,2.5,3.39325000000002
2.5,17.5,2.5,1.95731000000001
2.5,20,2.5,1.13723999999996
2.5,22.5,2.5,0.837429999999983
2.5,25,2.5,1.63990000000001
2.5,27.5,2.5,1.30477999999999
2.5,30,2.5,1.91836999999998
2.5,32.5,2.5,0.790250000000015
2.5,35,2.5,1.54019
