"L0","x","y","H0"
40,0,0,26.1814
20,0,0,15.82825
20,20,0,11.12409
20,0,20,24.11408
20,20,20,18.52279
10,0,0,9.12117999999998
10,10,0,10.47665
10,20,0,6.39650999999998
10,30,0,9.27057000000002
10,0,10,13.68018
10,10,10,4.69031000000001
10,20,10,3.99099999999999
10,30,10,4.83127000000002
10,0,20,5.32618000000002
10,10,20,5.85994999999997
10,20,20,5.03448000000003
10,30,20,9.58877000000001
10,0,30,9.32751999999999
10,10,30,19.9776
10,20,30,12.18194
10,30,30,14.85565
5,0,0,3.14246000000003
5,5,0,4.15521000000001
5,10,0,6.28570000000002
5,15,0,3.10955999999999
5,20,0,2.66504000000003
5,25,0,3.81023999999996
5,30,0,3.47620000000001
5,35,0,6.15935999999999
5,0,5,4.81265000000002
5,5,5,5.37654999999995
5,10,5,6.50574
5,15,5,2.49358999999998
5,20,5,2.89794999999998
5,25,5,5.46735000000001
5,30,5,4.9083
5,35,5,6.40930000000003
5,0,10,8.31014999999996
5,5,10,5.27593999999999
5,10,10,4.25141000000002
5,15,10,2.70614999999998
5,20,10,2.80660999999998
5,25,10,1.41174000000001
5,30,10,2.57479999999998
5,35,10,3.13562000000002
5,0,15,6.19870000000003
5,5,15,5.19344999999998
5,10,15,1.89947000000001
5,15,15,3.23941000000002
5,20,15,2.14609000000002
5,25,15,3.26972000000001
5,30,15,1.77930000000003
5,35,15,2.2432
5,0,20,1.30083999999999
5,5,20,1.32540999999998
5,10,20,3.31817000000001
5,15,20,3.51675
5,20,20,3.67899
5,25,20,2.52974999999998
5,30,20,1.59912000000003
5,35,20,2.63919000000004
5,0,25,4.10047000000003
5,5,25,3.61019999999996
5,10,25,2.79088999999999
5,15,25,2.94757000000004
5,20,25,3.03528
5,25,25,4.3537
5,30,25,4.81334999999996
5,35,25,9.04367000000002
5,0,30,6.45269999999999
5,5,30,5.54949999999997
5,10,30,8.28835999999995
5,15,30,8.03589000000005
5,20,30,6.37673999999998
5,25,30,5.53046000000001
5,30,30,4.65881999999999
5,35,30,8.38272000000001
5,0,35,5.43948
5,5,35,8.24126999999999
5,10,35,18.1196
5,15,35,9.09180000000003
5,20,35,6.15688999999998
5,25,35,4.42965999999996
5,30,35,5.10500999999999
5,35,35,3.81197999999995
2.5,0,0,0.667449999999974
2.5,2.5,0,2.15656000000001
2.5,5,0,0.490850000000023
2.5,7.5,0,1.92838
2.5,10,0,4.49419999999998
2.5,12.5,0,2.56668000000002
2.5,15,0,2.15213
